Name                                                        ,Level Score,Donation Score,Trophies Score,Wins Score ,Commons    ,Rares      ,Epics      ,Legendaries,Scaled Score
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Vibe'                                                     ,138.4615385,69.92629876   ,338           ,740.1383033,250.4262624,181.019336 ,683.4380053,45.67479986,100
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Hanran\xc2\xae\xe2\x84\xa2'                               ,138.4615385,70.91497393   ,266           ,385.7562366,256.5941457,181.019336 ,362.038672 ,47.09275155,67
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'abzz'                                                     ,126.9230769,57.65773863   ,230.6666667   ,380.9718799,92.35026221,29.34412938,114.0350359,20.00720841,41
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Rhett'                                                    ,138.4615385,32.1319432    ,214.3333333   ,734.8806068,327.276981 ,271.2225522,861.0779292,98.08712013,98
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Naresh'                                                   ,126.9230769,9.976631314   ,212.3333333   ,465.0067747,72.40514307,71.83757109,114.0350359,35.40230529,36
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'dwaraka'                                                  ,126.9230769,7.999280964   ,205           ,410.3069956,120.6906764,60.40795601,85.42975067,18.25384071,33
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Tottall'                                                  ,138.4615385,51.41110911   ,203.3333333   ,546.5509001,211.2086837,191.7833058,861.0779292,45.67479986,76
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Karma'                                                    ,126.9230769,23.36868596   ,187.3333333   ,491.5273366,153.9367943,78.33942677,215.2694823,26.61393056,42
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'kr#sh'                                                    ,126.9230769,22.02049254   ,167           ,504.4955678,83.78584348,46.58090185,191.7833058,21.26871846,42
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'\xd8\xb3\xd9\x89\xd9\x81 \xd9\x86\xd9\x88\xd8\xa7\xd8\xb0',138.4615385,43.0523099    ,165.3333333   ,560.7009858,161.6129589,67.80563804,341.7190027,54.31444273,55
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Biast Naman'                                              ,126.9230769,36.76074061   ,160           ,155.6375736,87.96388245,23.97291323,21.35743767,17.34703418,17
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Creedplay'                                                ,138.4615385,90.41883876   ,157.75        ,602.5564187,343.5968737,186.3236074,542.4451043,53.21863353,69
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Nightmare'                                                ,126.9230769,25.25615675   ,148.5         ,781.4718129,146.6252261,143.6751422,430.5389646,20.00720841,58
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Saitama'                                                  ,115.3846154,0             ,143.5         ,155.6134163,28.03247351,36.9712863 ,33.90281902,18.50927654,19
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Lazar'                                                    ,115.3846154,39.00772964   ,138           ,276.7530696,54.07131802,21.98325836,33.90281902,14.51355012,24
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Nikhil'                                                   ,126.9230769,25.52579543   ,136.5         ,25.80985484,52.7715784 ,43.96651672,35.91878555,18.50927654,9
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'DEATH'                                                    ,115.3846154,25.79543412   ,134.5         ,250.0629261,53.90711587,14.67206469,47.94582646,8.5        ,16
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Skullbash'                                                ,126.9230769,25.48085565   ,127.25        ,287.1674611,196.3410707,98.70149283,271.2225522,40.30509625,34
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'JOHN SNOW'                                                ,126.9230769,41.61423692   ,124.5         ,391.7995227,39.40920047,29.34412938,103.6554508,10.15945715,30
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'nickatnyte'                                               ,115.3846154,9.437353946   ,116           ,199.6391478,28.03247351,11.3137085 ,16.95140951,8.5        ,10
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'mihiraman'                                                ,115.3846154,55.23099047   ,116           ,150.1706047,136.3038364,90.50966799,120.815912 ,8.5        ,26
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'prime'                                                    ,115.3846154,18.33543052   ,111.75        ,209.1937173,96.95537182,101.5936673,161.2698944,33.64360464,22
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Maskman'                                                  ,115.3846154,11.77422254   ,111.75        ,414.0186069,94.62480653,57.01751796,85.42975067,14.51355012,24
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Vikas'                                                    ,126.9230769,25.70555456   ,107.6         ,398.1038385,117.7895736,98.70149283,80.63494719,10.32551104,26
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'At\xc3\xb8m\xc3\xadX'                                     ,126.9230769,19.3241057    ,89.2          ,185.3212159,143.1007214,85.42975067,143.6751422,24.78154555,20
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Neha'                                                     ,115.3846154,1.797591228   ,86.6          ,7.647727273,109.4980121,46.58090185,114.0350359,22.48443991,14
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'vedant'                                                   ,126.9230769,69.02750315   ,78.8          ,608.6278418,38.46190159,16         ,161.2698944,42.3139063 ,31
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Sachin'                                                   ,126.9230769,0             ,77            ,71.55339806,238.5317138,228.0700718,767.1332234,20.00720841,44
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'sask'                                                     ,115.3846154,11.32482473   ,71.6          ,263.6006051,46.72676617,18.48564315,80.63494719,8.5        ,17
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Shardul'                                                  ,115.3846154,17.57145425   ,25            ,822.5809575,76.01567555,40.3174736 ,114.0350359,18.96492034,39
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Naruto'                                                   ,115.3846154,0             ,25            ,74.5191969 ,33.23758969,19.75776463,47.34753428,16.15268052,7
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'krush_uchiha'                                             ,115.3846154,0             ,25            ,286.4218868,63.19620469,33.98806966,76.10925536,17.34703418,17
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'DragonSlayer'                                             ,126.9230769,0             ,25            ,259.1317348,45.40227394,32         ,107.6347412,24.78154555,17
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Nick'                                                     ,103.8461538,0             ,25            ,4.611672278,6.511021351,6.478465677,8.475704755,11.53966119,-1
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'sr'                                                       ,126.9230769,0             ,25            ,4.673381295,307.7844603,112.8436806,124.2000324,24.78154555,19
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'ReVerB'                                                   ,115.3846154,0             ,25            ,298.6907407,39.40920047,8.79304978 ,47.34753428,18.96492034,13
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'Dazzling2027'                                             ,103.8461538,2.696386842   ,10            ,141.4525939,79.80624972,32         ,33.07384906,8.5        ,6
                                                            ,           ,              ,              ,           ,           ,           ,           ,           ,
b'H.Q. !!'                                                  ,103.8461538,0             ,10            ,88.33170732,50.26507568,12.39407714,39.39662123,8.5        ,2
